geo,nace,share_M,share_F,wage_M,wage_F,gap,between,within
LV,R,0.0209,0.0388,9.33,6.2,33.5477,-1.3584,0.9149
LV,S,0.006,0.0079,9.48,7.92,16.4557,-0.1574,0.106
MT,C,0.1302,0.0687,11.38,9.88,13.181,5.2834,1.2057
MT,E,0.0117,0.005,11.44,12.43,-8.6538,0.6436,-0.067
MT,F,0.0762,0.0094,10.2,12.76,-25.098,6.1983,-0.8851
MT,G,0.1057,0.1054,10.82,10.37,4.159,0.028,0.384
MT,H,0.0769,0.0271,12.6,10.94,13.1746,4.7367,0.6975
MT,I,0.0878,0.0783,10.73,10.22,4.753,0.8015,0.3423
MT,J,0.0534,0.041,16.85,14.81,12.1068,1.5895,0.7782
MT,K,0.0488,0.0707,17.41,14.94,14.1872,-2.8731,1.1928
MT,L,0.0055,0.004,14.26,10.35,27.4194,0.1469,0.1511
MT,M,0.0652,0.0711,15.72,14.47,7.9517,-0.7232,0.6883
MT,N,0.1442,0.1196,9.84,9.54,3.0488,1.9328,0.3199
MT,P,0.0617,0.1604,15.06,12.4,17.6627,-10.9585,2.3876
MT,Q,0.0734,0.1892,11.86,10.9,8.0944,-10.65,1.019
MT,R,0.052,0.0412,14.83,13.91,6.2036,1.2575,0.3467
MT,S,0.0073,0.0088,11.22,11.54,-2.852,-0.1395,-0.0209
NL,B,0.0018,4e-4,35.8,33.77,5.6704,0.2176,0.0097
NL,C,0.1577,0.0479,24.53,19.82,19.201,10.8128,2.1501
NL,D,0.0059,0.0021,30.53,28.48,6.7147,0.4881,0.0363
NL,E,0.0087,0.0021,22.66,20.81,8.1642,0.6405,0.0442
NL,F,0.0707,0.0101,24.06,21.32,11.3882,6.1053,0.4918
NL,G,0.183,0.1619,18.49,14.27,22.8231,1.5349,3.2314
NL,H,0.0783,0.027,21.95,19.16,12.7107,4.6842,0.6526
NL,I,0.041,0.0458,13.22,12.24,7.413,-0.2693,0.1887
NL,J,0.0542,0.0235,28.73,23.61,17.8211,3.5746000000000002,0.8834
NL,K,0.0296,0.0246,35.8,27.49,23.2123,0.698,1.0008
NL,L,0.0069,0.0066,27.96,25.45,8.9771,0.0303,0.0753
NL,M,0.0658,0.0485,29.27,23.71,18.9956,2.0423,1.411
NL,N,0.1576,0.1243,17.22,15.54,9.7561,2.4205,1.0514
NL,P,0.0547,0.1079,26.17,24.93,4.7382,-6.0411,0.4476
NL,Q,0.0611,0.3375,24.45,20.62,15.6646,-27.659,3.3893
NL,R,0.0145,0.0164,19.52,17.45,10.6045,-0.1581,0.142
NL,S,0.0085,0.0134,24.34,21.04,13.5579,-0.4915,0.1608
PL,B,0.0195,0.0026,10.42,8.93,14.2994,1.8211,0.1842
PL,C,0.3463,0.1941,8.06,6.74,16.3772,12.5764,3.9836
PL,D,0.0166,0.005,10.5,10.38,1.1429,1.3494,0.0145
PL,E,0.0251,0.0084,6.87,7.13,-3.7846,1.3105,-0.0487
PL,F,0.0775,0.0151,7.69,8.56,-11.3134,5.659,-0.45
PL,G,0.1473,0.167,8.46,6.7,20.8038,-1.6607,3.0892
PL,H,0.1058,0.0431,8.11,7.32,9.7411,5.4087,0.6569
PL,I,0.013,0.0253,6.23,5.44,12.6806,-0.7992,0.169
PL,J,0.0414,0.0277,16.57,12.47,24.7435,2.2183,1.5824
PL,K,0.0274,0.0448,15.35,11.11,27.6221,-2.5791,1.7102
PL,L,0.0107,0.0124,7.92,7.31,7.702,-0.143,0.0789
PL,M,0.036,0.0525,13.02,10.72,17.6651,-2.1875,1.1371
PL,N,0.0451,0.0389,6.51,6.54,-0.4608,0.4516,-0.0141
PL,P,0.0529,0.2202,10.33,9.66,6.486,-18.6787,1.0217
PL,Q,0.0224,0.1224,10.5,8.92,15.0476,-10.8444,1.2777
PL,R,0.0101,0.0155,7.35,6.9,6.1224,-0.433,0.0644
PL,S,0.0029,0.005,7.4,5.39,27.1622,-0.1488,0.0879
PT,B,0.0049,6e-4,9.27,10.32,-11.3269,0.4707,-0.032
PT,C,0.231,0.1682,7.94,6.27,21.0327,4.9393,3.6934
PT,D,0.0041,0.0014,17.43,18,-3.2702,0.5341,-0.0174
PT,E,0.0157,0.0043,6.98,8.4,-20.3438,0.9701,-0.1573
PT,F,0.1153,0.0139,6.9,7.46,-8.1159,8.0661,-0.4009
PT,G,0.15310000000000001,0.1477,8.29,7.58,8.5645,0.4723,1.1829
PT,H,0.0728,0.0163,8.55,9.51,-11.2281,5.6601,-0.4738
PT,I,0.061,0.0727,6.69,5.63,15.8445,-0.8013,0.7849
PT,J,0.0518,0.026,13.71,11.79,14.0044,3.6389,0.8277
PT,K,0.0244,0.0256,17.24,13.98,18.9095,-0.2,0.9036
PT,L,0.0045,0.0043,13.73,8.69,36.7079,0.0265,0.2453
PT,M,0.0415,0.0365,12.64,10.47,17.1677,0.6369,0.9376
PT,N,0.1037,0.1017,6.36,5.69,10.5346,0.1356,0.7626
PT,P,0.0581,0.1441,15.35,14.09,8.2085,-14.0331,1.4111
PT,Q,0.0403,0.2157,10.36,7.86,24.1313,-17.704,3.5465
PT,R,0.0099,0.0059,11.8,7.82,33.7288,0.4317,0.3469
PT,S,0.0079,0.0151,8.43,7.7,8.6595,-0.6379,0.0932
RO,B,0.0149,0.0033,9.51,10.31,-8.4122,1.5338,-0.0977
RO,C,0.2477,0.2473,6.92,5.47,20.9538,0.0283,4.7933
RO,D,0.0175,0.0064,10.22,10.44,-2.1526,1.537,-0.0351
RO,E,0.0316,0.0132,5.84,5.75,1.5411,1.4305,0.0269
RO,F,0.1396,0.0227,5.68,6.71,-18.1338,9.6757,-1.1161
RO,G,0.1404,0.1677,6.96,6.08,12.6437,-2.3722,1.8107
RO,H,0.0982,0.0333,6.34,6.71,-5.836,5.6559,-0.325
RO,I,0.0274,0.0435,4.57,4.33,5.2516,-0.9545,0.1136
RO,J,0.0541,0.045,16.57,13.6,17.924,1.8329,1.9641
RO,K,0.0106,0.03,13.52,10.88,19.5266,-3.1584,0.7156
RO,L,0.0041,0.0037,7.56,6.7,11.3757,0.0402,0.0451
RO,M,0.035,0.0368,9.92,10.46,-5.4435,-0.2456,-0.259
RO,N,0.0822,0.0592,5.35,6.47,-20.9346,1.8129,-1.0571
RO,P,0.0443,0.1235,8.88,8.6,3.1532,-9.2443,0.3139
RO,Q,0.0335,0.1354,10.83,9.48,12.4654,-13.8273,1.5227
RO,R,0.0107,0.0189,7.1,6.36,10.4225,-0.742,0.1461
RO,S,0.0081,0.0101,7.39,6.47,12.4493,-0.1847,0.1119
SE,B,0.0038,0.0013,27.03,25.53,5.5494,0.291,0.0168
SE,C,0.185,0.0588,22.92,22.16,3.3159,12.5173,0.4075
SE,D,0.0106,0.0041,26.22,25.94,1.0679,0.7481,0.009
SE,E,0.0083,0.0025,21.77,22.23,-2.113,0.5585,-0.011
SE,F,0.1074,0.0115,22.39,22.89,-2.2331,9.552,-0.1308
SE,G,0.1268,0.1088,22.39,20.34,9.1559,1.6973,1.0622
SE,H,0.0728,0.0212,19.22,19.71,-2.5494,4.4173,-0.1013
SE,I,0.0339,0.0323,16.47,15.55,5.5859,0.1159,0.1339
SE,J,0.0671,0.0297,29.23,26.07,10.8108,4.5511,0.6725
SE,K,0.0266,0.0258,35.76,27.93,21.896,0.099,0.9022
SE,L,0.0153,0.0102,23.66,22.23,6.044,0.5075,0.0802
SE,M,0.0562,0.0444,27.96,24.83,11.1946,1.3689,0.6928
SE,N,0.0744,0.0607,18.84,17.47,7.2718,1.0938,0.4068
SE,P,0.0548,0.1343,21.48,19.83,7.6816,-7.2274,0.6861
SE,Q,0.1329,0.4217,21.27,19.71,7.3343,-26.0268,1.9028
SE,R,0.0122,0.0139,18.63,17.15,7.9442,-0.1324,0.0847
SE,S,0.0119,0.0189,21.4,19.91,6.9626,-0.6281,0.1009
SI,B,0.0052,8e-4,16.3,13.92,14.6012,0.5118,0.056
SI,C,0.3652,0.1975,12.44,10.94,12.0579,15.2184,3.2771
SI,D,0.0171,0.0041,16.99,16.36,3.7081,1.6848,0.0517
SI,E,0.0225,0.0073,11.27,12.52,-11.0914,1.4096,-0.1448
SI,F,0.1157,0.0115,10.29,11.36,-10.3984,8.7537,-0.5286
SI,G,0.0955,0.1479,13.15,10.92,16.9582,-4.9044,2.1077
SI,H,0.0966,0.0207,11.03,12.31,-11.6047,6.8795,-0.5833
SI,I,0.0277,0.0452,10.18,9.23,9.332,-1.3228,0.2688
SI,J,0.0458,0.0264,19.57,15.4,21.3081,2.6384,1.1683
SI,K,0.0181,0.0373,20.62,15.63,24.1998,-2.7126,1.0729
SI,L,0.0027,0.0039,13.15,13.73,-4.4106,-0.1225,-0.0147
SI,M,0.0434,0.0372,16.84,15.15,10.0356,0.7628,0.5289
SI,N,0.0447,0.0465,9.74,8.33,14.4764,-0.1248,0.4993
SI,P,0.042,0.1845,14.32,12.72,11.1732,-14.9612,1.407
SI,Q,0.0424,0.2026,15.13,12.84,15.1355,-17.4008,2.1785
SI,R,0.0105,0.0155,13.33,12.93,3.0008,-0.5163,0.0404
SI,S,0.0051,0.011,11.84,10.48,11.4865,-0.5069,0.0851
SK,B,0.0055,0.001,8.97,7.7,14.1583,0.3761,0.042
SK,C,0.3476,0.2069,9.77,7.5,23.2344,12.3005,6.3684
SK,D,0.0173,0.0062,12.62,11.06,12.3613,1.3244,0.1853
SK,E,0.0254,0.0076,7.88,7.9,-0.2538,1.4204,-0.0033
SK,F,0.0622,0.0126,8.27,8.08,2.2975,4.1039,0.0719
SK,G,0.115,0.1579,10.02,7.69,23.2535,-3.8435,3.2176
SK,H,0.1057,0.0446,8.51,7.98,6.228,5.1015,0.4032
SK,I,0.0258,0.0359,6.69,6.01,10.1644,-0.6487,0.2126
SK,J,0.0549,0.0301,15.19,11.17,26.4648,3.2991,1.7294
SK,K,0.0147,0.0295,16.78,11.5,31.466,-2.1144,1.1828
SK,L,0.0152,0.0163,9.32,8.38,10.0858,-0.1001,0.1499
SK,M,0.0449,0.0426,12.83,11,14.2634,0.2777,0.8104
SK,N,0.0602,0.0443,7.6,7.3,3.9474,1.1998,0.1586
SK,P,0.0469,0.1927,8.9,7.87,11.573,-12.3742,1.2488
SK,Q,0.034,0.136,12.02,9.23,23.2113,-10.9766,2.3997
SK,R,0.0152,0.0228,8.71,7.52,13.6625,-0.6223,0.2285
SK,S,0.0094,0.0128,6.85,7.18,-4.8175,-0.2407,-0.0371
